n, V
1281, 1.03
1279, 1.03
40, 0.03
34, 0.03
32, 0.03
36, 0.03
38, 0.03
1265, 1.02
1272, 1.02
1285, 1.04
1282, 1.03
1276, 1.03
37, 0.03
31, 0.02
39, 0.03
35, 0.03
35, 0.03
1274, 1.03
1281, 1.03
1267, 1.02
1273, 1.03
1277, 1.03
30, 0.02
39, 0.03
36, 0.03
28, 0.02
38, 0.03
1276, 1.03
1274, 1.03
1273, 1.03
1275, 1.03
1274, 1.03
36, 0.03
23, 0.02
34, 0.03
27, 0.02
24, 0.02
1272, 1.02
1280, 1.03
1270, 1.02
1274, 1.03
1280, 1.03
34, 0.03
40, 0.03
19, 0.02
33, 0.03
31, 0.02
1281, 1.03
1274, 1.03
1277, 1.03
1276, 1.03
1272, 1.02
37, 0.03
30, 0.02
37, 0.03
15, 0.01
40, 0.03
1273, 1.03
1270, 1.02
1274, 1.03
1283, 1.03
1283, 1.03
1263, 1.02
40, 0.03
32, 0.03
27, 0.02
23, 0.02
44, 0.04
1273, 1.03
1276, 1.03
1282, 1.03
1279, 1.03
1282, 1.03
35, 0.03
40, 0.03
35, 0.03
27, 0.02
23, 0.02
1281, 1.03
1275, 1.03
1276, 1.03
1280, 1.03
1274, 1.03
36, 0.03
37, 0.03
35, 0.03
36, 0.03
32, 0.03
1271, 1.02
1281, 1.03
1269, 1.02
1278, 1.03
1274, 1.03
33, 0.03
36, 0.03
31, 0.02
38, 0.03
39, 0.03
1273, 1.03
1270, 1.02
