n, V
204, 0.16
504, 0.41
849, 0.68
1132, 0.91
1247, 1.00
1095, 0.88
790, 0.64
442, 0.36
163, 0.13
55, 0.04
159, 0.13
447, 0.36
797, 0.64
1096, 0.88
1246, 1.00
1140, 0.92
852, 0.69
501, 0.40
199, 0.16
57, 0.05
144, 0.12
392, 0.32
740, 0.60
1059, 0.85
1232, 0.99
1179, 0.95
898, 0.72
554, 0.45
230, 0.19
70, 0.06
100, 0.08
338, 0.27
680, 0.55
1008, 0.81
1223, 0.99
1201, 0.97
962, 0.78
619, 0.50
277, 0.22
78, 0.06
91, 0.07
306, 0.25
621, 0.50
950, 0.77
1190, 0.96
1224, 0.99
1004, 0.81
670, 0.54
329, 0.27
106, 0.09
70, 0.06
249, 0.20
566, 0.46
905, 0.73
1168, 0.94
1240, 1.00
1058, 0.85
726, 0.58
387, 0.31
137, 0.11
63, 0.05
216, 0.17
500, 0.40
837, 0.67
1127, 0.91
1250, 1.01
1095, 0.88
795, 0.64
437, 0.35
160, 0.13
55, 0.04
170, 0.14
446, 0.36
797, 0.64
1092, 0.88
1248, 1.01
1133, 0.91
843, 0.68
500, 0.40
201, 0.16
56, 0.05
139, 0.11
403, 0.32
729, 0.59
1044, 0.84
1237, 1.00
1171, 0.94
909, 0.73
553, 0.45
245, 0.20
67, 0.05
109, 0.09
339, 0.27
679, 0.55
998, 0.80
1218, 0.98
1199, 0.97
967, 0.78
614, 0.49
286, 0.23
86, 0.07
84, 0.07
299, 0.24
620, 0.50
958, 0.77
1204, 0.97
1225, 0.99
1013, 0.82
684, 0.55
341, 0.27
103, 0.08
68, 0.05
253, 0.20
557, 0.45
908, 0.73
1162, 0.94
1244, 1.00
1064, 0.86
732, 0.59
390, 0.31
135, 0.11
49, 0.04
201, 0.16
503, 0.41
837, 0.67
1130, 0.91
1259, 1.01
1110, 0.89
805, 0.65
446, 0.36
166, 0.13
55, 0.04
165, 0.13
445, 0.36
781, 0.63
1089, 0.88
1251, 1.01
1141, 0.92
858, 0.69
508, 0.41
207, 0.17
56, 0.05
126, 0.10
386, 0.31
722, 0.58
1038, 0.84
1236, 1.00
1173, 0.95
912, 0.73
578, 0.47
248, 0.20
65, 0.05
95, 0.08
339, 0.27
660, 0.53
985, 0.79
1206, 0.97
1204, 0.97
980, 0.79
638, 0.51
308, 0.25
89, 0.07
82, 0.07
276, 0.22
600, 0.48
940, 0.76
1191, 0.96
1230, 0.99
1032, 0.83
695, 0.56
369, 0.30
117, 0.09
62, 0.05
236, 0.19
535, 0.43
870, 0.70
1145, 0.92
1250, 1.01
1083, 0.87
773, 0.62
422, 0.34
139, 0.11
48, 0.04
187, 0.15
469, 0.38
813, 0.66
1106, 0.89
1258, 1.01
1126, 0.91
833, 0.67
470, 0.38
185, 0.15
49, 0.04
143, 0.12
420, 0.34
755, 0.61
1058, 0.85
1236, 1.00
1167, 0.94
889, 0.72
