n, V
229, 0.18
466, 0.38
710, 0.57
934, 0.75
1149, 0.93
1101, 0.89
869, 0.70
633, 0.51
387, 0.31
156, 0.13
197, 0.16
424, 0.34
666, 0.54
879, 0.71
1128, 0.91
1139, 0.92
901, 0.73
670, 0.54
433, 0.35
192, 0.15
171, 0.14
394, 0.32
622, 0.50
861, 0.69
1076, 0.87
1184, 0.95
936, 0.75
709, 0.57
468, 0.38
236, 0.19
119, 0.10
355, 0.29
589, 0.47
816, 0.66
1041, 0.84
1220, 0.98
982, 0.79
748, 0.60
499, 0.40
277, 0.22
87, 0.07
324, 0.26
547, 0.44
774, 0.62
1006, 0.81
1225, 0.99
1023, 0.82
783, 0.63
549, 0.44
311, 0.25
73, 0.06
277, 0.22
504, 0.41
743, 0.60
956, 0.77
1190, 0.96
1070, 0.86
825, 0.66
590, 0.48
355, 0.29
119, 0.10
230, 0.19
468, 0.38
702, 0.57
925, 0.75
1159, 0.93
1110, 0.89
867, 0.70
624, 0.50
392, 0.32
160, 0.13
191, 0.15
437, 0.35
660, 0.53
892, 0.72
1119, 0.90
1140, 0.92
903, 0.73
669, 0.54
427, 0.34
201, 0.16
166, 0.13
399, 0.32
631, 0.51
849, 0.68
1087, 0.88
1176, 0.95
948, 0.76
702, 0.57
467, 0.38
232, 0.19
125, 0.10
357, 0.29
578, 0.47
824, 0.66
1049, 0.85
1222, 0.98
980, 0.79
746, 0.60
510, 0.41
278, 0.22
77, 0.06
316, 0.25
544, 0.44
772, 0.62
1004, 0.81
1234, 0.99
1030, 0.83
789, 0.64
542, 0.44
322, 0.26
79, 0.06
273, 0.22
502, 0.40
745, 0.60
968, 0.78
1185, 0.95
1056, 0.85
824, 0.66
590, 0.48
360, 0.29
127, 0.10
239, 0.19
465, 0.37
690, 0.56
922, 0.74
1150, 0.93
1101, 0.89
859, 0.69
638, 0.51
397, 0.32
159, 0.13
198, 0.16
418, 0.34
663, 0.53
879, 0.71
1111, 0.90
1149, 0.93
913, 0.74
668, 0.54
436, 0.35
204, 0.16
142, 0.11
378, 0.30
611, 0.49
840, 0.68
1067, 0.86
1198, 0.97
957, 0.77
715, 0.58
485, 0.39
252, 0.20
103, 0.08
342, 0.28
569, 0.46
798, 0.64
1023, 0.82
1231, 0.99
992, 0.80
757, 0.61
533, 0.43
286, 0.23
69, 0.06
306, 0.25
529, 0.43
761, 0.61
998, 0.80
1219, 0.98
1052, 0.85
806, 0.65
566, 0.46
331, 0.27
89, 0.07
263, 0.21
482, 0.39
718, 0.58
937, 0.75
1176, 0.95
1090, 0.88
846, 0.68
612, 0.49
379, 0.31
143, 0.12
217, 0.17
449, 0.36
674, 0.54
903, 0.73
1135, 0.91
1124, 0.91
885, 0.71
648, 0.52
421, 0.34
185, 0.15
163, 0.13
394, 0.32
631, 0.51
865, 0.70
1096, 0.88
1162, 0.94
929, 0.75
