n  v(n)  Re(T)  Im(T)  Mod(T) 
   
0  127  50438.0  0.0  50438.0  
1  0  19.32135  83.4251  85.6333  
2  0  -94.50299  141.12874  169.8474  
3  0  -100.734215  -20.305801  102.76044  
4  0  37.16298  14.615589  39.933727  
5  0  -100.24975  3.021769  100.29528  
6  125  101.89376  -167.6176  196.1581  
7  126  9.619743  30.481987  31.963902  
8  117  -184.85835  -126.268135  223.8666  
9  127  37.080635  -27.82999  46.362507  
10  132  -16.010086  16.658049  23.104403  
11  0  66.108086  19.802732  69.01034  
12  0  -99.99717  68.91909  121.446594  
13  0  36.529686  36.360023  51.540947  
14  0  -134.35884  0.40146542  134.35945  
15  0  -159.57086  52.547283  168.00023  
16  116  -88.64951  62.60476  108.52692  
17  123  -98.06478  78.2525  125.45978  
18  118  98.39637  36.796135  105.05142  
19  129  1.701149  -2.888857  3.3525217  
20  125  85.35138  -83.61349  119.48252  
21  0  -81.76412  -171.83768  190.2986  
22  0  91.566086  115.96295  147.75572  
23  0  25.164253  137.58887  139.87114  
24  0  139.76303  -42.4636  146.07143  
25  0  -53.591225  107.35958  119.99208  
26  125  -101.5016  -159.03725  188.6675  
27  123  111.055016  41.125946  118.42534  
28  147  -41.825302  46.759804  62.736237  
29  127  42.068977  -14.813471  44.600872  
30  129  -123.2628  -127.87475  177.61101  
31  0  203.26007  -171.18625  265.7431  
32  0  -30.171738  84.62926  89.84679  
33  0  -13.623894  20.45119  24.573597  
34  0  -143.30725  -12.170685  143.82314  
35  0  -72.90577  -160.6763  176.44298  
36  124  -60.85592  -81.310745  101.5622  
37  129  75.04676  -45.954117  87.99885  
38  128  -44.862015  -10.267883  46.022057  
39  132  -46.17369  -204.5644  209.71077  
40  129  202.08188  78.399635  216.75699  
41  0  -202.23907  109.20999  229.84227  
42  0  20.216805  -96.0962  98.19979  
43  0  51.77723  -13.118664  53.413303  
44  0  27.616783  -76.114365  80.96964  
45  0  -114.22007  -80.818375  139.9208  
46  125  -127.203186  -33.62093  131.57133  
47  124  67.39857  -34.04706  75.510056  
48  118  -36.21013  -60.20267  70.253365  
49  129  -42.63266  121.04088  128.3294  
50  127  -127.18875  -11.36639  127.69563  
51  0  84.51892  5.109867  84.67325  
52  0  84.51197  -23.166924  87.62978  
53  0  74.19479  8.810326  74.71606  
54  0  -102.56484  -11.549416  103.21306  
55  0  133.04633  -125.66669  183.01213  
56  124  -6.3672104  151.42395  151.55775  
57  120  197.89049  -38.85324  201.66858  
58  125  135.74243  81.53695  158.3486  
59  129  -142.69139  95.28461  171.58086  
60  126  -52.874107  82.71053  98.16671  
61  0  16.008003  21.210327  26.573185  
62  0  139.95029  50.552135  148.80054  
63  0  100.741104  -65.38371  120.09913  
64  0  -2.8945236  -74.2637  74.32009  
65  0  4.0945206  -47.914665  48.089294  
66  118  -118.596115  -142.90828  185.70894  
67  125  62.52035  35.275677  71.78557  
68  123  -88.11532  -87.15554  123.93707  
69  124  130.2207  6.6559753  130.3907  
70  121  86.158844  32.60459  92.12169  
71  0  94.574715  131.8338  162.24835  
72  0  -230.51984  -133.1666  266.21933  
73  0  -14.202812  -61.57966  63.196316  
74  0  -173.3114  142.90018  224.62703  
75  0  35.278313  -59.81848  69.44646  
76  126  129.46216  101.07764  164.2472  
77  132  -17.685387  -103.20497  104.709305  
78  119  153.0638  -137.36893  205.6666  
79  130  158.69978  55.31698  168.06424  
80  128  10083.693  31035.531  32632.578  
81  0  69.61847  -72.47395  100.494804  
82  0  78.48941  -64.29532  101.46169  
83  0  39.67163  -4.910492  39.97438  
84  0  -33.228714  18.982391  38.26851  
85  0  -47.840332  -101.487434  112.19802  
86  119  56.134026  23.447624  60.834362  
87  122  10.661659  -7.14711  12.835582  
88  117  65.25404  -85.05048  107.199234  
89  145  60.42771  -85.87484  105.004745  
90  125  -6.541252  -9.134567  11.235137  
91  0  20.91536  -2.429123  21.055946  
92  0  -148.85742  13.754692  149.49155  
93  0  1.5043411  0.0058059692  1.5043523  
94  0  -16.658684  -33.830574  37.70967  
95  0  -91.03935  -204.89728  224.21208  
96  126  -117.80668  -48.80635  127.516556  
97  127  -121.87933  -81.545265  146.64311  
98  114  58.12133  48.23178  75.527435  
99  127  -29.196014  -48.37224  56.50027  
100  122  84.359  -36.07952  91.7506  
101  0  96.102005  -191.83963  214.56477  
102  0  -74.07916  82.336105  110.756294  
103  0  -47.6938  115.097694  124.588036  
104  0  -31.521103  127.27012  131.11546  
105  0  -27.249496  -23.922226  36.26028  
106  126  106.09516  -189.82654  217.46332  
107  122  131.23035  171.5773  216.00966  
108  116  95.81332  -49.02282  107.626335  
109  124  124.61307  68.79307  142.34079  
110  126  -70.8211  -26.050438  75.46027  
111  0  164.13162  126.15625  207.0135  
112  0  -27.79853  42.91413  51.131016  
113  0  -17.99356  -10.185852  20.676552  
114  0  -85.79668  6.5367966  86.045334  
115  0  81.76167  79.91118  114.32746  
116  126  70.90625  -19.523117  73.544876  
117  129  83.56349  77.25613  113.80407  
118  120  13.707607  0.39540863  13.713309  
119  121  36.237198  -157.63312  161.74466  
120  122  63.56636  147.55508  160.66481  
121  0  -109.59835  -14.66658  110.57535  
122  0  33.926704  76.960464  84.10669  
123  0  10.288727  60.471237  61.340267  
124  0  15.491455  31.462852  35.069878  
125  0  106.1225  -40.882645  113.725  
126  125  -109.96808  -12.943054  110.72715  
127  127  160.64926  84.108826  181.33527  
128  151  -137.82544  -69.42149  154.32173  
129  124  -74.124886  -5.547989  74.33222  
130  124  -97.10835  21.565102  99.474045  
131  0  43.443974  3.1787949  43.560112  
132  0  47.98545  -37.4423  60.864845  
133  0  14.273739  67.284615  68.78197  
134  0  16.963913  30.160622  34.60401  
135  0  45.387875  95.25842  105.518845  
136  130  -112.51735  -15.164223  113.534615  
137  128  51.01275  87.75873  101.5081  
138  149  26.500565  17.105232  31.541542  
139  118  -47.35166  -40.352547  62.213406  
140  122  27.98531  -18.738121  33.67929  
141  0  4.9820137  50.53031  50.77532  
142  0  -19.360432  110.976  112.65211  
143  0  117.323586  49.26686  127.24797  
144  0  145.86453  -64.32157  159.41684  
145  0  105.22499  18.087341  106.76821  
146  126  75.21785  -95.0875  121.240906  
147  127  -12.023586  127.37042  127.93667  
148  124  -108.80833  -59.823174  124.1695  
149  118  63.460133  89.36378  109.604164  
150  126  8.661346  81.15364  81.61454  
151  0  -20.008175  170.80875  171.97661  
152  0  48.366364  -140.83583  148.90948  
153  0  53.206047  -6.0827866  53.552628  
154  0  -196.09897  -91.585175  216.43163  
155  0  -20.221016  42.058517  46.666996  
156  126  -38.459145  153.89713  158.62985  
157  120  90.332634  58.86434  107.819275  
158  133  84.85275  77.39987  114.85091  
159  120  -63.04829  185.20023  195.63795  
160  122  -94.186874  44.772507  104.286835  
161  0  19.623215  130.80133  132.2651  
162  0  92.06046  140.5488  168.01515  
163  0  4.290146  0.60672  4.332835  
164  0  -111.80068  -47.5552  121.4944  
165  0  -24.98301  5.8950577  25.669096  
166  128  -107.70274  -5.091934  107.823044  
167  123  -16.434677  -0.63204193  16.446825  
168  142  -55.215393  -7.8883133  55.776028  
169  127  120.322754  -96.56499  154.28015  
170  136  -12.852522  -33.517776  35.897476  
171  0  71.75256  -31.53437  78.37631  
172  0  -108.314445  -42.3164  116.28713  
173  0  -95.74942  16.386383  97.14147  
174  0  -80.21808  -72.94637  108.42561  
175  0  184.31711  -186.78224  262.41266  
176  112  101.91693  -160.9235  190.4821  
177  130  49.24042  -80.35138  94.23886  
178  134  40.275818  95.09745  103.27472  
179  121  -49.034416  -33.300797  59.27324  
180  124  27.679878  -89.13681  93.33567  
181  0  149.19182  -88.843704  173.64159  
182  0  -6.597294  -163.17082  163.30414  
183  0  -69.00562  -23.18042  72.794975  
184  0  -142.77545  10.874619  143.189  
185  0  25.873322  19.607315  32.46345  
186  126  152.18268  4.1827545  152.24016  
187  120  -91.85585  137.43877  165.30853  
188  129  134.92014  113.53323  176.33275  
189  124  61.95432  153.51459  165.54475  
190  124  -107.51736  -36.59497  113.57453  
191  0  -45.03258  94.50724  104.68788  
192  0  -21.906057  104.51833  106.789314  
193  0  -96.42367  -65.54178  116.59009  
194  0  -74.382225  -62.47203  97.136345  
195  0  -130.0678  84.36443  155.03221  
196  124  19.44128  52.237984  55.73841  
197  123  -53.375595  138.99191  148.88823  
198  125  -100.38618  21.070457  102.57362  
199  122  54.879135  -98.50149  112.75754  
200  133  -14.946194  -53.013596  55.080215  
201  0  29.6624  -5.661331  30.197824  
202  0  -39.204765  66.186295  76.92619  
203  0  -66.37218  66.45705  93.92446  
204  0  -98.73841  -31.235764  103.56132  
205  0  -39.87639  85.56684  94.40239  
206  124  -208.6433  -138.05649  250.18317  
207  127  87.9387  175.54942  196.34361  
208  136  -33.078342  -237.7263  240.0166  
209  119  17.736366  -71.30356  73.476364  
210  123  -212.91945  -0.86413574  212.9212  
211  0  -7.554281  26.567337  27.620474  
212  0  79.83312  -55.596245  97.28448  
213  0  -127.64519  -121.125885  175.96811  
214  0  45.46557  35.841812  57.89433  
215  0  -78.42542  -21.627747  81.352974  
216  126  16.254309  -35.601807  39.136826  
217  129  -90.62251  1.2434921  90.63104  
218  109  46.36032  -28.10009  54.21157  
219  132  69.08244  -36.988983  78.36178  
220  129  76.237976  31.388626  82.4468  
221  0  52.498863  40.95501  66.58411  
222  0  -23.889917  32.107758  40.020447  
223  0  11.405708  155.24895  155.66736  
224  0  58.42115  134.44316  146.58784  
225  0  33.51042  113.62934  118.46761  
226  122  89.77824  -34.311333  96.11139  
227  124  -33.569786  45.83966  56.817295  
228  125  -102.40532  -89.36597  135.91588  
229  125  -59.232697  53.59105  79.87811  
230  126  -29.896345  1.3662338  29.927546  
231  0  -73.48548  -8.178268  73.93916  
232  0  142.67485  -23.796448  144.64572  
233  0  68.75899  4.74691  68.922646  
234  0  90.74651  -144.78511  170.87323  
235  0  -54.234303  -21.595177  58.375603  
236  127  -73.541725  54.73516  91.675095  
237  129  -160.04321  91.654976  184.43011  
238  142  29.10331  -66.137184  72.257385  
239  122  1.008461  -21.728386  21.751776  
240  127  10042.065  7233.7065  12376.171  
241  0  -117.04266  17.442719  118.33526  
242  0  -65.96602  110.0441  128.30128  
243  0  87.08801  2.3369904  87.11936  
244  0  1.2997437  -252.40086  252.4042  
245  0  -77.355675  -137.2507  157.5489  
246  128  9.9228325  -91.15365  91.69215  
247  133  19.122036  58.601673  61.642586  
248  116  12.413761  15.238991  19.655235  
249  126  111.25953  36.612373  117.12877  
250  132  8.202553  -84.43257  84.83007  
251  0  108.42743  -17.405357  109.815544  
252  0  29.333027  -38.964066  48.771145  
253  0  -66.99719  -90.576485  112.66199  
254  0  57.343414  -53.86657  78.67576  
255  0  110.91642  102.19313  150.8174  
256  126  120.925186  91.00272  151.34198  
257  132  -16.47329  -13.68354  21.415148  
258  127  28.584808  82.0342  86.87176  
259  122  -58.64305  -62.534454  85.72961  
260  124  98.19992  -88.83641  132.42029  
261  0  39.264374  31.780434  50.514225  
262  0  171.71115  -125.306404  212.57097  
263  0  110.50192  -165.47594  198.9798  
264  0  -96.45528  -144.88423  174.05476  
265  0  75.57996  27.699127  80.4958  
266  127  10.686279  191.90472  192.20203  
267  123  -100.79098  -62.0692  118.36979  
268  124  -90.90741  31.161827  96.10004  
269  125  -32.49586  25.244125  41.149082  
270  127  -46.589123  -122.723045  131.26878  
271  0  31.048325  8.952164  32.31315  
272  0  -64.86932  116.63116  133.45732  
273  0  -23.318806  -139.1315  141.07211  
274  0  -9.532211  -14.7560425  17.567123  
275  0  -122.87392  -75.58594  144.26099  
276  125  66.350464  -57.584244  87.85402  
277  128  -24.42947  -28.923416  37.85978  
278  123  83.59045  -77.71228  114.133965  
279  130  41.593063  67.60883  79.37844  
280  128  161.71373  -2.0031815  161.72614  
281  0  44.21382  112.66823  121.03302  
282  0  -69.645096  42.026413  81.34285  
283  0  -35.01933  -39.64216  52.894745  
284  0  75.270256  -68.880775  102.03025  
285  0  31.125786  55.724617  63.828266  
286  127  -1.5380783  -182.34528  182.35178  
287  123  -55.224365  179.05084  187.3738  
288  123  150.14267  -132.71423  200.38934  
289  127  193.52657  -0.30760193  193.52681  
290  127  -24.364883  -137.146  139.29347  
291  0  -52.306202  52.588936  74.17233  
292  0  22.325203  49.328987  54.145763  
293  0  65.56823  -246.09384  254.67896  
294  0  66.366264  159.37468  172.64058  
295  0  22.351814  -82.58739  85.55863  
296  128  86.686935  20.720741  89.128975  
297  128  -66.13757  -47.72535  81.559105  
298  121  -3.7211685  53.398087  53.52759  
299  123  23.7734  108.95018  111.51375  
300  124  -44.35775  -22.091553  49.55448  
301  0  42.066788  64.86224  77.30929  
302  0  -20.722733  75.24419  78.04562  
303  0  -70.21591  96.29911  119.179665  
304  0  -114.24223  104.922485  155.11292  
305  0  -138.77118  97.58529  169.64766  
306  131  8.542343  47.951324  48.706276  
307  126  -49.33302  -9.575607  50.253746  
308  128  -55.74293  -160.86746  170.25162  
309  131  6.5292053  -84.03819  84.29145  
310  127  28.040146  57.62137  64.08176  
311  0  25.79506  39.28692  46.998375  
312  0  21.812958  194.52931  195.74846  
313  0  38.225525  12.373512  40.178284  
